id,name,price,features,description
74,Laptop Dell Model 74,27795959,"17 inch, Ryzen 3, 4GB RAM, 256GB SSD","Giá cả phải chăng, cấu hình hợp lý."
75,Laptop Lenovo Model 75,25534061,"13.3 inch, Core i3, 32GB RAM, 512GB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
76,Laptop Apple Model 76,19423135,"13.3 inch, Core i7, 32GB RAM, 256GB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
77,Laptop Acer Model 77,16358821,"17 inch, Ryzen 5, 16GB RAM, 256GB SSD","Giá cả phải chăng, cấu hình hợp lý."
78,Laptop Asus Model 78,16401924,"16 inch, Ryzen 5, 16GB RAM, 256GB SSD","Giá cả phải chăng, cấu hình hợp lý."
79,Laptop MSI Model 79,15330783,"14 inch, Core i7, 4GB RAM, 256GB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
80,Laptop Dell Model 80,25143210,"15.6 inch, Core i3, 8GB RAM, 256GB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
81,Laptop Lenovo Model 81,26400199,"15.6 inch, Core i3, 16GB RAM, 512GB SSD","Giá cả phải chăng, cấu hình hợp lý."
82,Laptop MSI Model 82,10626760,"15.6 inch, Ryzen 3, 8GB RAM, 256GB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
83,Laptop Asus Model 83,25190250,"13.3 inch, Apple M1, 4GB RAM, 1TB SSD",Phù hợp cho sinh viên và người dùng phổ thông.
84,Laptop Acer Model 84,13067249,"17 inch, Ryzen 7, 8GB RAM, 256GB SSD","Giá cả phải chăng, cấu hình hợp lý."
85,Laptop MSI Model 85,23233461,"15.6 inch, Apple M1, 4GB RAM, 512GB SSD","Giá cả phải chăng, cấu hình hợp lý."
86,Laptop Asus Model 86,18738600,"14 inch, Ryzen 5, 16GB RAM, 512GB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
87,Laptop MSI Model 87,13211789,"15.6 inch, Core i7, 16GB RAM, 256GB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
88,Laptop MSI Model 88,19922219,"14 inch, Core i3, 8GB RAM, 512GB SSD","Giá cả phải chăng, cấu hình hợp lý."
89,Laptop Apple Model 89,29762185,"15.6 inch, Apple M1, 32GB RAM, 512GB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
90,Laptop MSI Model 90,22517244,"14 inch, Core i7, 16GB RAM, 256GB SSD","Giá cả phải chăng, cấu hình hợp lý."
91,Laptop HP Model 91,10368041,"16 inch, Ryzen 7, 8GB RAM, 256GB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
92,Laptop HP Model 92,15186191,"16 inch, Core i5, 16GB RAM, 512GB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
93,Laptop MSI Model 93,25167042,"16 inch, Ryzen 5, 4GB RAM, 1TB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
94,Laptop Dell Model 94,28488071,"16 inch, Ryzen 3, 32GB RAM, 256GB SSD","Giá cả phải chăng, cấu hình hợp lý."
95,Laptop Apple Model 95,25097882,"16 inch, Apple M2, 4GB RAM, 256GB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
96,Laptop MSI Model 96,12795388,"15.6 inch, Ryzen 3, 16GB RAM, 256GB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
97,Laptop Asus Model 97,25774199,"16 inch, Ryzen 7, 16GB RAM, 1TB SSD","Giá cả phải chăng, cấu hình hợp lý."
98,Laptop MSI Model 98,12616170,"15.6 inch, Core i5, 4GB RAM, 1TB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
99,Laptop Acer Model 99,10040708,"13.3 inch, Ryzen 5, 8GB RAM, 512GB SSD",Phù hợp cho sinh viên và người dùng phổ thông.
100,Laptop MSI Model 100,18571613,"16 inch, Ryzen 3, 8GB RAM, 512GB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
101,Laptop HP Model 101,17643514,"16 inch, Apple M1, 16GB RAM, 512GB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
102,Laptop HP Model 102,28102479,"13.3 inch, Apple M1, 32GB RAM, 1TB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
103,Laptop Acer Model 103,11358274,"14 inch, Ryzen 5, 4GB RAM, 256GB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
104,Laptop MSI Model 104,22694106,"15.6 inch, Core i7, 32GB RAM, 512GB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
105,Laptop Apple Model 105,18032419,"15.6 inch, Apple M1, 4GB RAM, 512GB SSD",Phù hợp cho sinh viên và người dùng phổ thông.
106,Laptop Acer Model 106,26628307,"17 inch, Ryzen 3, 8GB RAM, 256GB SSD","Giá cả phải chăng, cấu hình hợp lý."
107,Laptop Asus Model 107,19475946,"14 inch, Ryzen 7, 32GB RAM, 512GB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
108,Laptop Asus Model 108,26737176,"16 inch, Ryzen 7, 4GB RAM, 256GB SSD","Giá cả phải chăng, cấu hình hợp lý."
109,Laptop Asus Model 109,11224176,"16 inch, Ryzen 3, 16GB RAM, 1TB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
110,Laptop Dell Model 110,27326198,"17 inch, Core i7, 32GB RAM, 1TB SSD","Giá cả phải chăng, cấu hình hợp lý."
111,Laptop HP Model 111,19756100,"17 inch, Core i7, 32GB RAM, 512GB SSD","Giá cả phải chăng, cấu hình hợp lý."
112,Laptop Dell Model 112,23711057,"17 inch, Apple M1, 32GB RAM, 256GB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
113,Laptop Acer Model 113,11846175,"13.3 inch, Core i3, 8GB RAM, 1TB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
114,Laptop Apple Model 114,22699502,"13.3 inch, Ryzen 5, 32GB RAM, 1TB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
115,Laptop MSI Model 115,23649393,"13.3 inch, Core i7, 4GB RAM, 512GB SSD",Phù hợp cho sinh viên và người dùng phổ thông.
116,Laptop Apple Model 116,28607271,"17 inch, Core i3, 4GB RAM, 256GB SSD",Phù hợp cho sinh viên và người dùng phổ thông.
117,Laptop Asus Model 117,21298743,"15.6 inch, Core i7, 16GB RAM, 256GB SSD","Giá cả phải chăng, cấu hình hợp lý."
118,Laptop Lenovo Model 118,12005731,"14 inch, Apple M1, 8GB RAM, 512GB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
119,Laptop Lenovo Model 119,19515956,"14 inch, Core i7, 4GB RAM, 1TB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
120,Laptop Dell Model 120,18346123,"13.3 inch, Apple M1, 16GB RAM, 512GB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
121,Laptop MSI Model 121,22948815,"15.6 inch, Core i5, 16GB RAM, 1TB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
122,Laptop Asus Model 122,27315490,"17 inch, Apple M2, 8GB RAM, 512GB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
123,Laptop HP Model 123,23995845,"14 inch, Apple M1, 16GB RAM, 512GB SSD",Phù hợp cho sinh viên và người dùng phổ thông.
124,Laptop Dell Model 124,27541833,"17 inch, Ryzen 5, 32GB RAM, 256GB SSD",Phù hợp cho sinh viên và người dùng phổ thông.
125,Laptop HP Model 125,13625778,"17 inch, Ryzen 3, 4GB RAM, 256GB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
126,Laptop Lenovo Model 126,29771672,"14 inch, Apple M1, 8GB RAM, 512GB SSD","Giá cả phải chăng, cấu hình hợp lý."
127,Laptop Lenovo Model 127,16997235,"17 inch, Ryzen 3, 32GB RAM, 512GB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
128,Laptop HP Model 128,19917133,"13.3 inch, Core i7, 4GB RAM, 512GB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
129,Laptop MSI Model 129,18679762,"15.6 inch, Core i7, 8GB RAM, 512GB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
130,Laptop Apple Model 130,27343485,"14 inch, Ryzen 3, 16GB RAM, 1TB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
131,Laptop Acer Model 131,19739452,"17 inch, Apple M1, 32GB RAM, 512GB SSD",Phù hợp cho sinh viên và người dùng phổ thông.
132,Laptop HP Model 132,28205298,"14 inch, Apple M1, 8GB RAM, 256GB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
133,Laptop Dell Model 133,24356260,"14 inch, Core i3, 8GB RAM, 512GB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
134,Laptop Lenovo Model 134,20792262,"13.3 inch, Apple M2, 4GB RAM, 1TB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
135,Laptop Dell Model 135,16117725,"13.3 inch, Apple M1, 32GB RAM, 512GB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
136,Laptop Apple Model 136,10931548,"15.6 inch, Ryzen 5, 4GB RAM, 256GB SSD","Giá cả phải chăng, cấu hình hợp lý."
137,Laptop Acer Model 137,22670425,"14 inch, Core i3, 4GB RAM, 1TB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
138,Laptop HP Model 138,27120912,"16 inch, Ryzen 5, 16GB RAM, 1TB SSD","Giá cả phải chăng, cấu hình hợp lý."
139,Laptop HP Model 139,11846321,"17 inch, Apple M2, 4GB RAM, 1TB SSD","Giá cả phải chăng, cấu hình hợp lý."
140,Laptop Lenovo Model 140,13243510,"17 inch, Ryzen 5, 4GB RAM, 512GB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
141,Laptop MSI Model 141,15870651,"15.6 inch, Apple M1, 32GB RAM, 512GB SSD",Phù hợp cho sinh viên và người dùng phổ thông.
142,Laptop MSI Model 142,17426164,"15.6 inch, Apple M2, 32GB RAM, 512GB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
143,Laptop HP Model 143,25189029,"17 inch, Ryzen 5, 32GB RAM, 1TB SSD",Phù hợp cho sinh viên và người dùng phổ thông.
144,Laptop Apple Model 144,20137130,"17 inch, Apple M1, 8GB RAM, 512GB SSD",Phù hợp cho sinh viên và người dùng phổ thông.
145,Laptop MSI Model 145,29574121,"13.3 inch, Apple M2, 16GB RAM, 256GB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
146,Laptop Lenovo Model 146,15463596,"16 inch, Ryzen 7, 4GB RAM, 256GB SSD",Phù hợp cho sinh viên và người dùng phổ thông.
147,Laptop Lenovo Model 147,25964487,"13.3 inch, Ryzen 7, 32GB RAM, 256GB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
148,Laptop Asus Model 148,10414054,"14 inch, Core i5, 16GB RAM, 256GB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
149,Laptop MSI Model 149,18244348,"14 inch, Core i7, 8GB RAM, 256GB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
150,Laptop MSI Model 150,18010762,"14 inch, Ryzen 3, 32GB RAM, 512GB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
151,Laptop Asus Model 151,18012275,"17 inch, Core i7, 4GB RAM, 1TB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
152,Laptop Dell Model 152,24675058,"13.3 inch, Ryzen 7, 32GB RAM, 512GB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
153,Laptop MSI Model 153,21700829,"13.3 inch, Ryzen 5, 8GB RAM, 512GB SSD",Phù hợp cho sinh viên và người dùng phổ thông.
154,Laptop Dell Model 154,16066887,"13.3 inch, Core i7, 8GB RAM, 256GB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
155,Laptop MSI Model 155,15081224,"17 inch, Core i3, 16GB RAM, 256GB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
156,Laptop MSI Model 156,18060877,"16 inch, Ryzen 3, 4GB RAM, 512GB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
157,Laptop MSI Model 157,25473364,"16 inch, Core i7, 4GB RAM, 1TB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
158,Laptop Acer Model 158,18519521,"15.6 inch, Core i3, 8GB RAM, 1TB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
159,Laptop Dell Model 159,27445580,"15.6 inch, Ryzen 7, 16GB RAM, 256GB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
160,Laptop Acer Model 160,10994956,"17 inch, Ryzen 3, 16GB RAM, 512GB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
161,Laptop Apple Model 161,12355890,"13.3 inch, Apple M1, 32GB RAM, 512GB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
162,Laptop Asus Model 162,15369916,"17 inch, Core i3, 8GB RAM, 256GB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
163,Laptop Asus Model 163,29792920,"15.6 inch, Apple M1, 4GB RAM, 512GB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
164,Laptop Asus Model 164,18896853,"13.3 inch, Apple M1, 4GB RAM, 256GB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
165,Laptop Apple Model 165,25376639,"16 inch, Ryzen 7, 16GB RAM, 256GB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
166,Laptop Dell Model 166,16655974,"16 inch, Ryzen 5, 8GB RAM, 512GB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
167,Laptop Acer Model 167,29453620,"14 inch, Core i7, 32GB RAM, 256GB SSD","Giá cả phải chăng, cấu hình hợp lý."
168,Laptop Acer Model 168,15338452,"13.3 inch, Apple M1, 8GB RAM, 256GB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
169,Laptop HP Model 169,10644295,"17 inch, Ryzen 7, 4GB RAM, 512GB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
170,Laptop MSI Model 170,22291553,"16 inch, Apple M2, 8GB RAM, 1TB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
171,Laptop HP Model 171,18882442,"15.6 inch, Apple M1, 8GB RAM, 512GB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
172,Laptop Asus Model 172,20849054,"17 inch, Core i7, 4GB RAM, 512GB SSD","Giá cả phải chăng, cấu hình hợp lý."
173,Laptop HP Model 173,19917090,"13.3 inch, Core i7, 4GB RAM, 1TB SSD",Phù hợp cho sinh viên và người dùng phổ thông.
174,Laptop HP Model 174,14813655,"17 inch, Core i7, 32GB RAM, 1TB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
175,Laptop HP Model 175,28154646,"13.3 inch, Ryzen 5, 32GB RAM, 512GB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
176,Laptop HP Model 176,19419272,"13.3 inch, Ryzen 7, 16GB RAM, 512GB SSD",Phù hợp cho sinh viên và người dùng phổ thông.
177,Laptop Apple Model 177,14861147,"16 inch, Ryzen 5, 32GB RAM, 1TB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
178,Laptop Asus Model 178,28183746,"17 inch, Apple M2, 32GB RAM, 512GB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
179,Laptop MSI Model 179,23354119,"16 inch, Apple M1, 32GB RAM, 512GB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
180,Laptop Apple Model 180,15892197,"14 inch, Ryzen 3, 32GB RAM, 256GB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
181,Laptop Lenovo Model 181,14033406,"14 inch, Apple M1, 4GB RAM, 256GB SSD","Giá cả phải chăng, cấu hình hợp lý."
182,Laptop Lenovo Model 182,20841055,"15.6 inch, Core i3, 4GB RAM, 256GB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
183,Laptop Dell Model 183,13117049,"14 inch, Apple M1, 16GB RAM, 256GB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
184,Laptop HP Model 184,26419688,"16 inch, Ryzen 7, 4GB RAM, 1TB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
185,Laptop HP Model 185,27369018,"17 inch, Ryzen 3, 32GB RAM, 256GB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
